p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
6,5,5,6,7,5,4,4,4,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,AU01,104
7,7,7,7,7,3,5,7,3,4,5,2,7,7,7,7,7,4,7,7,7,7,7,7,6,5,7,7,7,7,AU01,105
7,7,7,7,7,3,5,7,5,5,5,1,6,6,6,6,4,3,4,4,4,4,4,4,4,4,4,4,4,4,AU01,106
7,6,6,7,7,5,4,5,4,4,5,2,6,5,5,5,3,5,4,3,4,4,4,4,4,3,4,3,4,5,AU01,107
7,7,7,7,7,7,6,7,6,6,1,1,7,7,7,7,7,7,7,7,7,6,7,7,6,6,6,7,7,7,AU01,108
7,7,7,7,7,6,6,6,5,5,5,1,6,6,7,7,6,2,3,3,5,5,3,3,4,3,4,3,4,3,AU01,109
7,7,7,7,7,7,5,6,6,6,1,1,7,7,7,7,6,5,6,6,7,6,7,6,7,6,6,6,7,6,AU01,111
7,6,6,7,7,6,5,6,6,6,2,2,7,6,6,7,7,5,6,6,6,6,6,6,5,5,6,6,5,6,AU01,112
7,7,7,7,7,7,5,7,4,4,3,1,7,7,5,4,6,5,6,4,6,4,6,5,5,4,4,2,4,4,AU01,113
6,6,3,3,7,3,3,5,4,4,4,2,5,6,5,4,4,5,5,6,5,5,5,6,5,6,6,5,6,5,AU01,114
7,7,7,7,7,7,7,7,7,7,2,1,7,7,6,7,6,6,6,6,6,7,6,6,6,5,6,6,6,6,AU01,115
7,6,6,7,7,4,4,5,4,4,5,2,6,6,5,4,6,5,6,6,6,6,6,6,5,4,5,5,5,6,AU01,116
7,7,7,7,7,6,4,5,4,4,1,1,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,7,6,6,AU01,117
7,7,4,7,7,3,4,7,3,4,3,1,7,7,7,7,7,6,6,6,6,6,6,6,5,3,6,6,5,5,AU01,118
2,2,6,6,7,4,4,1,4,4,6,1,7,7,7,6,6,6,7,6,6,5,6,6,4,4,6,6,6,6,AU01,119
7,7,7,7,7,7,6,7,5,7,1,1,7,5,3,2,7,4,7,7,7,6,7,7,7,7,7,4,7,7,AU01,120
7,7,7,7,7,7,6,7,6,7,4,2,6,7,7,7,6,5,6,7,7,7,6,7,6,5,6,5,7,7,AU01,121
7,7,7,7,7,6,7,7,6,5,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,125
7,7,7,7,7,5,5,7,5,5,2,2,6,6,6,6,5,6,6,7,6,6,6,6,6,6,7,6,7,6,AU02,126
7,7,7,7,7,4,4,7,4,7,3,2,7,7,6,7,6,7,7,7,7,7,7,7,7,5,7,7,7,7,AU02,127
7,7,7,6,7,5,7,7,6,7,2,2,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,128
7,7,7,7,7,5,4,7,6,2,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,AU02,129
6,6,6,7,7,4,2,5,4,4,2,2,7,6,7,7,7,4,6,6,6,6,6,6,4,6,6,6,6,6,AU02,130
7,7,5,7,7,5,4,5,5,3,2,1,7,6,6,5,6,6,6,4,6,7,6,4,4,4,4,4,4,6,AU02,131
7,7,7,7,7,6,4,7,7,5,5,1,6,6,5,5,5,4,5,5,5,6,4,5,4,4,5,5,6,6,AU02,132
7,7,7,7,7,2,3,4,4,7,4,1,6,6,6,6,6,4,6,4,6,4,4,4,4,4,4,6,4,6,AU02,133
