Easting,Northing,Depth
353044.7,4386681,7.7
353045.7,4386681,8.1
352756.7,4386681,9.3
352812.8,4386682,76.7
352957.8,4386682,12.2
352156.5,4386682,5.3
352967.3,4386682,3.2
353046.1,4386682,7.5
353049.6,4386682,9.6
352170.8,4386682,5.6
352579.8,4386682,9.4
352565.3,4386683,24
352858.6,4386683,95.9
352578.8,4386683,9.7
352816.1,4386683,71.8
352922.7,4386683,44.4
352556.8,4386683,35
352884.8,4386683,83.8
352509.3,4386683,71.2
352759.1,4386683,9.9
352955.2,4386684,16.6
352778.6,4386684,44
352489,4386684,68.2
352441.5,4386684,20.6
352814.4,4386685,63.5
353041.8,4386685,6
352159.9,4386685,5.3
352168.8,4386685,5.7
352813.4,4386685,67.6
352926,4386685,46
352429.9,4386685,12.2
352563.6,4386685,24.7
352557.2,4386686,32.1
352858.4,4386686,96
352782.6,4386686,50.6
352761.4,4386686,10.8
352882.1,4386687,90
352929.3,4386687,47.5
352575,4386687,9.6
352953.7,4386687,22
353052.5,4386687,11.1
352489.1,4386687,68.2
352971.3,4386687,3.5
352161.7,4386687,5.3
352440.3,4386687,21.3
352784.7,4386688,53.7
352762.2,4386688,13.3
352953.3,4386688,26.6
352574.2,4386688,9.8
352428.6,4386688,12
352510.2,4386688,71.1
352557.5,4386688,29.4
352858.2,4386688,96.4
352811.9,4386688,52.6
352163.7,4386689,5.5
352510.7,4386689,71.3
352932.6,4386689,49.2
352560.1,4386690,25.1
352427.4,4386690,11.9
353052.7,4386690,12.3
353041,4386690,6.7
352880.8,4386690,97.6
352788.8,4386690,52.5
352557.7,4386690,26.7
352953.3,4386691,30.4
352935.8,4386691,49.2
352762.3,4386691,15.2
352810.3,4386691,47.5
352815,4386691,47.6
353040.8,4386691,7.4
352971.9,4386692,7.3
352858.1,4386692,96.4
352437.6,4386692,21.5
352167.1,4386692,5.9
352558.2,4386692,25.4
352511.6,4386692,71
352489.2,4386693,68.8
352939.1,4386693,50.9
352879.5,4386693,98
352794.6,4386693,48.9
352426.1,4386693,11.6
352809.4,4386693,41.7
352164.7,4386693,7.8
352570.7,4386693,10.4
352558.1,4386694,24.5
353051.8,4386694,14.3
353039.9,4386694,8.6
352169.7,4386694,6.3
352513.1,4386695,71
352197.5,4386695,6.5
352195.9,4386695,8.1
352815.1,4386695,40.2
352435.9,4386696,21.3
352858.1,4386696,96.6
353039.2,4386696,9.7
352200.2,4386696,6.1
352878.4,4386696,98.6
352942.4,4386696,50.6
352761.8,4386696,15.2
352954.4,4386696,34.2
352193.2,4386696,9.1
352163.3,4386696,6.6
352171.5,4386696,6.8
352202.8,4386697,7.3
352423.5,4386697,11.7
352971.5,4386697,9.6
352944.1,4386697,48.2
352489.2,4386698,69.3
352173.5,4386698,7.3
352814,4386698,34.6
352516,4386698,70.8
352554.6,4386698,26.1
352858.1,4386698,96.5
352802.7,4386698,38.3
352422.3,4386699,11.6
352947.5,4386699,46.7
352761.9,4386699,15
352434.3,4386699,21.6
352566.3,4386699,12.9
352877.5,4386699,98.3
352805.9,4386700,33
352971.2,4386700,13
352204.7,4386700,8
352162.2,4386700,6.3
352174.6,4386700,7.7
353037.1,4386700,10.9
352184,4386700,8.7
352956.9,4386700,34.6
352489.1,4386700,69.2
352517.8,4386701,69.7
352813.8,4386701,29.5
353048.6,4386701,20.1
352808.6,4386701,37.1
352762.2,4386701,14.7
352552,4386702,26.8
352161.6,4386702,6.1
352876.8,4386702,98
352858.3,4386702,95.7
353050.7,4386702,15.7
352563.7,4386702,14.2
352951.4,4386702,44.4
352419.7,4386702,11.2
352763.7,4386703,14
352811.8,4386703,27.1
352559,4386703,20.7
352518.9,4386703,62.6
352432.7,4386703,21.8
352959.6,4386703,32.7
352808.8,4386703,31.5
353035.3,4386703,12.6
352179.8,4386703,8.7
352205.7,4386703,9.9
352519.6,4386704,56.9
352559.1,4386704,18.9
352177,4386704,8.5
353054.4,4386704,12.6
352161.4,4386704,5.9
352961.3,4386705,29.9
352858.6,4386705,93.5
352813,4386705,24.9
352809.3,4386705,25.4
352417.8,4386705,10.4
353046.1,4386705,21.6
352179,4386705,8.1
352955.3,4386705,42.1
352970.9,4386705,16.1
352814.9,4386705,22.7
353057,4386706,9.9
352766.9,4386706,13.9
352560.6,4386706,15.5
352174.7,4386706,8.2
352431.5,4386706,22.2
352415.8,4386707,9.9
353058.2,4386707,10.6
